Spiel #;Liga;m/f;Modus;Gruppe;Rnd.;Datum;Wochentag;Spieltag;Anspielzeit;Heim #;Heim;Gast #;Gast;Halle #;Halle;Hallenort;1. SR;2. SR;1. LR;2. LR
133803;5L;f;Hin-/RÅckrunde;Gruppe B;1;19.10.2017 20:30;Donnerstag;19.10.2017;20:30;6002;VBC Malters 3;2519;STV Escholzmatt;1156;Muoshof 1;Malters;;;;
137556;U23 2L;m;2- und 3fach-Runde;Gruppe B;1;21.10.2017 14:00;Samstag;21.10.2017;14:00;6588;VBC Malters 2;5985;Volley Luzern;1961;BÅndtmÑttli;Malters;;;;
134443;U23 4.Liga;f;Hin-/RÅckrunde;Gruppe A;1;21.10.2017 15:00;Samstag;21.10.2017;15:00;4722;VBC Malters 3;6526;Volley HÅnenberg;1961;BÅndtmÑttli;Malters;;;;
133905;2L;m;Hin-/RÅckrunde;Gruppe A;1;21.10.2017 16:00;Samstag;21.10.2017;16:00;2956;VBC Malters 2;504;SG Obwalden 1;1961;BÅndtmÑttli;Malters;;;;
133335;2L;f;Hin-/RÅckrunde;Gruppe A;1;21.10.2017 17:00;Samstag;21.10.2017;17:00;1888;VBC Malters 1;3939;Volley Luzern 3 ;1961;BÅndtmÑttli;Malters;;;;
133136;NLB;m;Qualifikationsrunde;Ost;2;21.10.2017 18:30;Samstag;21.10.2017;18:30;2476;VBC Malters ;510;VC Smash Winterthur ;1961;BÅndtmÑttli;Malters;;;;
133649;4L;f;Hin-/RÅckrunde;Gruppe C;1;21.10.2017 19:00;Samstag;21.10.2017;19:00;2958;VBC Malters 2;2865;Volley Luzern 5;1961;BÅndtmÑttli;Malters;;;;
137559;U23 2L;m;2- und 3fach-Runde;Gruppe B;2;26.10.2017 19:30;Donnerstag;26.10.2017;19:30;6588;VBC Malters 2;5991;Volley HÅnenberg;1156;Muoshof 1;Malters;;;;
137474;U23 1L;m;3fach-Runde;Gruppe A;2;27.10.2017 20:00;Freitag;27.10.2017;20:00;5028;VBC Kanti Baden 1;5118;VBC Malters 1;1779;Kanti 5 (bei Beachfeld);Baden;;;;
134465;U23 4.Liga;f;Hin-/RÅckrunde;Gruppe B;2;28.10.2017 14:00;Samstag;28.10.2017;14:00;6530;VB Fides Ruswil 2;4028;VBC Malters 2;561;BÑrenmatt 2;Ruswil;;;;
